Latitude,Longitude,Temperature,Rainfall,Yield,Crop Type Bajra,Crop Type Barley,Crop Type Black Pepper,Crop Type Cardamom,Crop Type Cashew Nut,Crop Type Coconut,Crop Type Coffee,Crop Type Cotton,Crop Type Ginger,Crop Type Groundnut,Crop Type Jowar,Crop Type Linseed,Crop Type Maize,Crop Type Millets,Crop Type Mustard,Crop Type Oil Palm,Crop Type Pulses,Crop Type Ragi,Crop Type Rice,Crop Type Rubber,Crop Type Saffron,Crop Type Sesame,Crop Type Sorghum,Crop Type Soybean,Crop Type Sugarcane,Crop Type Sunflower,Crop Type Tea,Crop Type Tobacco,Crop Type Turmeric,Crop Type Wheat,Vegetation Growth Index,Soil Moisture Vegetation Index,Water–Soil Balance Index
22.62523109,88.49792521,9.884228735,1.662354196,40.21803063,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.5949313420747294,4.163634919797365,76.66670040856727
22.62523109,88.49792521,13.96707263,8.446302193,30.8703379,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2.988354914087078,12.047228454855091,317.0955151235563
22.62523109,88.49792521,13.59014742,3.862833237,45.33005008,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,5.480992860643296,15.076336520822753,96.28605922770511
22.62523109,88.49792521,12.34335542,16.62354196,49.71178105,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,5.161824946959782,15.12304160961864,400.86270238188195
22.62523109,88.49792521,11.00770651,9.496210107,34.54264576,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,4.129405119027982,15.426759756563744,260.3948851652923
22.62523109,88.49792521,29.05703078,11.03814476,48.32423291,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,13.088501653997035,17.090625883724154,279.2484843487664
22.62523109,88.49792521,14.59747283,17.52762933,53.44668506,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,7.465481945779698,16.86060914465181,385.2937452346702
22.62523109,88.49792521,26.89658942,16.57368075,51.58966574,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,12.86665416172101,15.882121806640724,366.88708807931755
22.62523109,88.49792521,11.23455428,16.86155872,52.78942541,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,5.607675134975198,17.007245750811503,383.06335413745785
22.62523109,88.49792521,28.76547304,10.38336348,38.43404016,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,14.24642773031583,16.452861892161607,229.9917735414577
22.62523109,88.49792521,13.70434524,16.87002572,51.90264653,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6.041050646663274,18.349325344312877,468.2238180380891
22.62523109,88.49792521,29.52973786,17.38086801,55.62711785,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,17.644436837265214,15.821399100319951,306.8684727288008
